step,total_reward
1,10.0
2,0.0
3,0.0
4,0.0
5,-0.0015085058
6,0.0
7,-0.0009222197
8,10.0
9,-8.778541e-05
10,0.0
11,0.0
12,-0.0005783557
13,0.0
14,-0.00053731335
15,-0.0003562602
16,-0.00053537136
17,-0.00057237624
18,0.0
19,0.0
20,0.0
21,-0.0006332779
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,-0.0007560588
28,0.0
29,0.0
30,-0.0013139283
31,0.0
32,0.0
33,-5.6675486e-05
34,-0.00052582606
35,-0.0013032184
36,10.0
37,-0.0012303937
38,-0.00030830904
39,0.0
40,0.0
41,-0.0009302114
42,-0.001184189
43,0.0
44,-0.0009027509
45,0.0
46,0.0
47,-0.00039933788
48,-0.0012495153
49,0.0
50,9.990551
51,0.0
52,10.0
53,-0.000613607
54,0.0
55,0.0
56,0.0
57,0.0
58,9.989269
59,0.0
60,-0.00038684907
61,0.0
62,-0.0003681389
63,-0.00042260232
64,-0.0009409793
65,-0.00040951808
66,0.0
67,10.0
68,-0.00020908735
69,9.997995
70,-0.0007335535
71,-0.00012888135
72,0.0
73,0.0
74,0.0
75,0.0
76,-3.57796e-05
77,-0.0007793753
78,-1.2633912e-05
79,-6.034781e-05
80,-0.00090213824
81,0.0
82,-0.00016185403
83,0.0
84,-0.00035310676
85,-0.0013391955
86,-0.0005683202
87,10.0
88,-0.00089435274
89,0.0
90,-0.00074093515
91,-0.0008262717
92,-0.00018381975
93,-0.00088285323
94,-0.0009785632
95,-1.904063e-05
96,-0.001207411
97,0.0
98,-0.00108832
99,0.0
100,0.0
101,0.0
102,-0.00042859363
103,0.0
104,9.992305
105,0.0
106,-9.698517e-05
107,-4.5090823e-05
108,-0.00037411135
109,-0.00034319048
110,0.0
111,-0.000667341
112,0.0
113,-8.571342e-06
114,-0.0017363579
115,0.0
116,-5.3290598e-05
117,0.0
118,0.0
119,-9.621616e-05
120,0.0
121,10.0
122,0.0
123,-0.0007483629
124,0.0
125,9.998754
126,0.0
127,-0.0017168811
128,0.0
129,0.0
130,0.0
131,-0.00051736156
132,0.0
133,-0.002326484
134,0.0
135,0.0
136,-0.001419813
137,-0.0010511013
138,-0.00019292909
139,-0.00029585356
140,-0.00086194306
141,-0.00029647604
142,10.0
143,-0.0022070596
144,0.0
145,0.0
146,0.0
147,0.0
148,-1.903484e-05
149,-0.0011288765
150,-0.0005558547
151,-0.00023322654
152,10.0
153,0.0
154,9.997879
155,-0.00089410256
156,0.0
157,-0.00012435652
158,0.0
159,0.0
160,-0.0008726562
161,-0.0003984803
162,0.0
163,-0.00036693623
164,-0.0015943783
165,0.0
166,0.0
167,10.0
168,-0.0012259544
169,0.0
170,-0.0008092122
171,-0.000977129
172,0.0
173,0.0
174,0.0
175,0.0
176,-0.0010246031
177,-0.00085669867
178,0.0
179,-0.0017853815
180,0.0
181,-9.910506e-05
182,0.0
183,0.0
184,-0.002111177
185,9.998003
186,0.0
187,0.0
188,0.0
189,0.0
190,-0.0015654751
191,-0.001488787
192,10.0
193,10.0
194,0.0
195,-0.0016571616
196,0.0
197,-0.0015140405
198,9.9978695
199,0.0
200,-0.0011167795
201,0.0
202,-9.4471696e-05
203,-0.0001905772
204,0.0
205,-0.0006463337
206,0.0
207,-0.00016685651
208,-0.0009219669
209,-0.00139618
210,0.0
211,-0.0010456459
212,10.0
213,-0.0006222087
214,0.0
215,0.0
216,-6.4434564e-05
217,-0.0014239737
218,0.0
219,0.0
220,-2.590645e-05
221,-0.00023628006
222,0.0
223,-0.0013930886
224,0.0
225,-0.00077980675
226,-0.001789688
227,-0.001010375
228,-0.0006541461
229,-0.00061446044
230,-0.00012903601
231,0.0
